SS,CNN,AMSimplex,RLSimplex
84.30147171,33.45918655,86.50517464,102.9617786
79.43749428,55.23180962,85.64925194,148.5376263
81.12025261,56.93888664,156.4881802,136.3677979
82.36861229,58.08973312,132.5452328,134.4115734
86.12680435,56.60486221,134.7663403,125.2975464
81.97379112,56.49709702,130.9874058,133.2850456
60.46414375,70.10865211,133.3539486,140.433073
87.56661415,74.70989227,133.9044571,131.136179
83.86039734,78.5472393,135.8320713,137.1116638
84.12027359,82.90886879,138.9801502,128.4506321
41.94498062,88.24515343,146.3119507,126.7726421
84.29026604,83.83393288,153.9616585,136.1882687
81.99071884,80.80148697,154.4587135,131.2205791
83.51564407,87.12387085,78.87887955,129.4291019
87.24856377,79.91456985,85.72530746,136.7282867
83.91404152,83.3594799,104.8164368,132.2381496
81.53319359,93.11819077,98.74534607,136.4338398
85.97636223,91.95613861,131.3250065,127.0644665
80.23166656,66.57338142,159.6660519,136.3236904
81.90917969,86.02023125,102.0255089,134.7391605
84.02943611,68.9098835,127.7828217,130.1660538
84.1999054,65.99187851,138.6876106,133.8219643
83.55021477,69.38838959,127.7730465,132.519722
88.92655373,83.36877823,107.1779728,130.9792995
84.60736275,78.61185074,169.68153,140.1546001
82.22174644,63.27176094,102.7328968,128.0076504
78.99260521,127.9280186,133.1868172,130.5353642
88.37413788,76.21598244,130.4097176,134.6418858
83.6493969,82.94463158,134.0894699,133.6257458
84.7492218,81.72702789,135.7104778,129.9850941
87.40520477,80.21211624,143.9894676,133.1138611
84.57374573,81.51435852,135.5497837,139.9037838
83.9612484,73.84157181,77.40926743,127.3460388
87.79191971,87.00156212,140.4774189,132.4503422
84.81502533,82.24701881,109.0092659,135.2689266
81.71772957,84.95926857,92.7464962,137.0444298
87.98909187,84.41305161,128.4170151,126.5192032
78.20916176,82.28707314,131.9787502,135.0314617
84.00440216,81.75873756,133.9576244,132.437706
85.82639694,98.62852097,135.0703239,134.1331005
85.93893051,72.55911827,132.6334476,129.2562485
80.95669746,57.07716942,154.0676212,137.9876137
81.00056648,58.23397636,155.9727192,134.1741085
83.72092247,60.07099152,162.1324825,129.0874481
79.31494713,58.05492401,74.39231873,132.7905655
79.95629311,59.82756615,115.8790588,132.1394444
84.66410637,58.45499039,78.60040665,139.2304897
82.34620094,112.8659248,108.3374023,144.1328335
77.86774635,78.3264637,98.41489792,105.3395271
80.89971542,72.08752632,120.6572056,125.9458065
